SERVICE,Task Name,Category,Task Description,Frequency,Task Type,Automated (Y/N),Notes,Source,Documentation Link
Windows Defender Application Control,Policy cleanup through removal of stale WDAC rules,,"Optional but recommended activity, carrying out periodic cleanup of WDAC rules which are no longer required, such as publisher rules for publishers no longer seen in use over an extended period in the bank, utilising a combination of KQL reports and secondary WDAC policies in audit mode running in parallel with the main WDAC policy in blocking mode.",Annually,,,,,
Windows Defender Application Control,Review new WDAC settings/capabilities of potential value,,"WDAC is under active improvement by Microsoft, with new settings and additional capabilities released within some new Windows builds. Any such improvements should be periodically reviewed to determine their potential value in terms of such things as enhanced security or manageability, and factored into a bank WDAC improvement roadmap",Quarterly,,,,,
Windows Defender Application Control,"Expand WDAC policies to cover additional supported file types, or introduce other new WDAC capabilities",,"Expand the WDAC configuration and rules to cover additional supported file types such as Scripts, Windows Installers, and Packaged/Store apps, to further enhance security",Ad hoc,,,,,
Defender for O365 ,Create and Configure ATP Policies,,"Every Office 365 subscription comes with security capabilities. The goals and actions that you can take depend on the focus of these different subscriptions. In Office 365 security, there are three main security services (or products) tied to your subscription type:

Exchange Online Protection (EOP)",ad-hoc,,,,,Office 365 Security in+J3:J24cluding Microsoft Defender for Office 365 and Exchange Online Protection - Office 365 | Microsoft Docs
Defender for O365 ,Create and Configure ATP Policies,,"Every Office 365 subscription comes with security capabilities. The goals and actions that you can take depend on the focus of these different subscriptions. In Office 365 security, there are three main security services (or products) tied to your subscription type:

Microsoft Defender for Office 365 Plan 1 (Defender for Office P1)",,,,,,Office 365 Security in+J3:J24cluding Microsoft Defender for Office 365 and Exchange Online Protection - Office 365 | Microsoft Docs
Defender for O365 ,Create and Configure ATP Policies,,"Every Office 365 subscription comes with security capabilities. The goals and actions that you can take depend on the focus of these different subscriptions. In Office 365 security, there are three main security services (or products) tied to your subscription type:

Microsoft Defender for Office 365 Plan 2 (Defender for Office P2)",,,,,,Office 365 Security in+J3:J24cluding Microsoft Defender for Office 365 and Exchange Online Protection - Office 365 | Microsoft Docs
Defender for O365,View or Edit a Custom List of Blocked URLs,,"To review the URLs, IP addresses, and domains in the allow or block list",ad-hoc,,,,,"Microsoft Defender ATP supports custom IOCs for URLs, IP addresses, and domains - Microsoft Tech Community"
Defender for O365,Manage Safe Attachments,,Provide an additional layer of protection for email attachments that have already been scanned by anti-malware protection in Exchange Online Protection (EOP),ad-hoc,,,,,Safe Attachments - Office 365 | Microsoft Docs
Defender for O365,"Manage Safe Links, SAME AS 1152",,"Safe Links is a feature in Defender for Office 365 that provides URL scanning and rewriting of inbound email messages in mail flow, and time-of-click verification of URLs and links in email messages and other locations. ",ad-hoc,,,,,Complete Safe Links overview for Microsoft Defender for Office 365 - Office 365 | Microsoft Docs
Defender for O365,Manage anti-phishing protection (Follow up with Helen F),,"To discover why a phishing message got through, and what you can do to adjust the anti-phishing settings in your Microsoft 365 organization without accidentally making things worse.",Monthly,,,,,Tune anti-phishing protection - Office 365 | Microsoft Docs
Defender for O365,Opening a case with Premier Support,,Existing process established,ad-hoc,,,,,Microsoft Support
Defender for O365,Manage Anti-Spoofing protection,,EOP includes features to help protect your organization from spoofed (forged) senders.,ad-hoc,,,,,Anti-spoofing protection - Office 365 | Microsoft Docs
Defender for O365,Find and investigate malicious email,,"(Respond to Malicious eMails)Threat Explorer is a powerful report that can serve multiple purposes, such as finding and deleting messages, identifying the IP address of a malicious email sender, or starting an incident for further investigation.",Daily,,,,,"Investigate malicious email that was delivered in Microsoft 365, Find and investigate malicious email - Office 365 | Microsoft Docs"
Defender for O365,Manage real time reports - email & collaboration reports,,"Microsoft Defender for Office 365 organizations (for example, Microsoft 365 E5 subscriptions or Microsoft Defender for Office 365 Plan 1 or Microsoft Defender for Office 365 Plan 2 add-ons) contain a variety of security-related reports. If you have the necessary permissions, you can view and download these reports in the Microsoft 365 Defender portal.",Weekly,,,,,View Defender for Office 365 reports - Office 365 | Microsoft Docs
Defender for O365,Manage threat protection status reports -  Not Relevant,,"The threat analytics dashboard is a great jump off point for getting to the reports that are most relevant to your organization. It summarizes the threats in the following sections:
Latest threats
High-impact threats
Threat summary",Weekly,,,,,Track and respond to emerging threats with Microsoft Defender for Endpoint threat analytics | Microsoft Docs
Defender for O365,Manage message disposition report,,"Microsoft Defender for Office 365 organizations (for example, Microsoft 365 E5 subscriptions or Microsoft Defender for Office 365 Plan 1 or Microsoft Defender for Office 365 Plan 2 add-ons) contain a variety of security-related reports. If you have the necessary permissions, you can view and download these reports in the Microsoft 365 Defender portal.",Weekly,,,,,View Defender for Office 365 reports - Office 365 | Microsoft Docs
Defender for O365,Manage file types report,,"Microsoft Defender for Office 365 organizations (for example, Microsoft 365 E5 subscriptions or Microsoft Defender for Office 365 Plan 1 or Microsoft Defender for Office 365 Plan 2 add-ons) contain a variety of security-related reports. If you have the necessary permissions, you can view and download these reports in the Microsoft 365 Defender portal.",Weekly,,,,,View Defender for Office 365 reports - Office 365 | Microsoft Docs
Defender for O365,Manage Safe Links policies,,"Safe Links in Microsoft Defender for Office 365 provides URL scanning of inbound email messages in mail flow, and time of click verification of URLs and links in email messages and in other locations. 
- Cyber Resilience (T3) should not be creating safe link policies - Between security operations / Enterprise service",ad-hoc,,,,,Set up Safe Links policies in Microsoft Defender for Office 365 - Office 365 | Microsoft Docs
